,DMSO 01,DMSO 02,DMSO 03,RAPA 01,RAPA 02,RAPA 03,DMSO 01,DMSO 02,DMSO 03,RAPA 01,RAPA 02,RAPA 03,DMSO 01,DMSO 02,DMSO 03,RAPA 01,RAPA 02,RAPA 03
Mar2,0,0,0,0,0,0,0,0,0,2.1564,0,0,0.97486,0,0.93027,0.9522,1.6778,0.80178
Sept2,0,0.95028,0,2.4445,1.0811,0,2.3787,0,0,4.3129,0,0,2.9246,2.507,2.7908,0.9522,3.3556,1.6036
Sept3,0,0.95028,1.9206,3.6668,2.1622,2.173,4.7574,2.7028,2.9948,2.1564,2.8858,3.3483,2.9246,0.83568,1.8605,2.8566,4.1945,1.6036
Sept5,2.948,2.8508,2.8809,3.6668,3.2433,3.2595,1.1894,0.90092,0,2.1564,0.96192,0,5.8492,4.1784,3.7211,3.8088,4.1945,4.8107
Sept7,4.4219,5.7017,3.8412,9.7781,5.4055,4.346,5.9468,1.8018,3.9931,4.3129,3.8477,3.3483,5.8492,6.6854,6.5119,7.6176,6.7112,6.4143
Sept8,0,1.9006,1.9206,2.4445,2.1622,2.173,0,0.90092,2.9948,4.3129,2.8858,0,3.8994,3.3427,3.7211,2.8566,2.5167,3.2071
Sept9,0,0.95028,0.96029,1.2223,0,1.0865,0,1.8018,0,1.0782,0,0,1.9497,0.83568,1.8605,2.8566,0.8389,0.80178
Sept11,4.4219,6.652,5.7617,4.889,4.3244,6.519,7.1361,3.6037,2.9948,6.4693,2.8858,3.3483,8.7737,11.699,9.3027,11.426,9.2279,11.225
Aak1,0,1.9006,1.9206,0,2.1622,1.0865,1.1894,0,0,0,0.96192,0,1.9497,7.5211,4.6514,3.8088,4.1945,6.4143
Aars,0,1.9006,1.9206,1.2223,1.0811,0,0,0,0,0,0,0,0.97486,0.83568,1.8605,2.8566,0.8389,2.4054
Aars2,0,0,0.96029,0,1.0811,0,0,0,0,0,0.96192,0,0.97486,0,0,0,0,0
Abat,7.3699,7.6023,5.7617,8.5558,9.7299,8.6921,9.5148,7.2074,4.9913,9.704,9.6192,3.3483,8.7737,5.8497,7.4422,11.426,7.5501,7.2161
Abhd12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93027,0,0.8389,0
Acadl,0,0,0,0,0,1.0865,0,0,0,0,0,3.3483,0,0.83568,0,0,0.8389,0.80178
Acadvl,0,0,0,0,0,0,0,0.90092,1.9965,2.1564,0.96192,1.1161,0.97486,0.83568,0,0.9522,0,1.6036
Acat1,1.474,3.8011,5.7617,4.889,4.3244,6.519,1.1894,5.4055,5.9896,5.3911,5.7715,3.3483,5.8492,5.8497,5.5816,4.761,2.5167,5.6125
Acat2,0,0.95028,0,0,1.0811,1.0865,0,0,0,0,0,0,0,0.83568,0,0,0.8389,0.80178
Acly,0,0.95028,2.8809,0,0,2.173,0,0,0,0,0,0,2.9246,0.83568,2.7908,2.8566,2.5167,1.6036
Aco2,16.214,18.055,18.245,14.667,15.135,14.125,20.219,12.613,12.977,9.704,11.543,13.393,19.497,26.742,27.908,25.709,23.489,26.459
Acot7,1.474,0.95028,1.9206,1.2223,2.1622,2.173,0,0,0,0,0,0,1.9497,2.507,3.7211,1.9044,2.5167,1.6036
Acsbg1,0,0,0,0,0,0,0,0.90092,0,1.0782,0,0,0,1.6714,1.8605,0,2.5167,1.6036
Acsf2,0,0,0,0,1.0811,0,0,0.90092,0.99827,0,0,0,0.97486,1.6714,1.8605,0,1.6778,0.80178
Acsl6,1.474,0.95028,0.96029,2.4445,1.0811,2.173,0,0,0,0,0,0,2.9246,2.507,3.7211,2.8566,1.6778,4.0089
Actb,41.271,38.011,36.491,36.668,40.001,33.682,28.544,41.442,34.939,29.112,28.858,35.715,26.321,21.728,20.466,24.757,20.134,21.648
Actc1,20.636,17.105,17.285,15.889,12.973,15.211,9.5148,12.613,13.976,9.704,13.467,17.858,11.698,9.1924,8.3724,11.426,9.2279,9.6214
Actn1,7.3699,4.7514,8.6426,8.5558,5.4055,3.2595,14.272,5.4055,10.981,8.6258,7.6954,7.8127,2.9246,3.3427,1.8605,1.9044,2.5167,1.6036
Actn4,1.474,3.8011,2.8809,3.6668,4.3244,2.173,13.083,2.7028,7.9861,5.3911,5.7715,3.3483,2.9246,2.507,1.8605,0.9522,2.5167,2.4054
Actr1a,2.948,4.7514,3.8412,4.889,3.2433,2.173,0,1.8018,0.99827,1.0782,0.96192,2.2322,6.824,2.507,3.7211,2.8566,2.5167,4.8107
Actr2,4.4219,1.9006,1.9206,3.6668,3.2433,3.2595,0,1.8018,0,3.2347,0.96192,1.1161,4.8743,2.507,2.7908,2.8566,2.5167,3.2071
Actr3,4.4219,3.8011,4.8014,3.6668,4.3244,4.346,4.7574,2.7028,2.9948,1.0782,1.9238,0,3.8994,2.507,4.6514,4.761,3.3556,3.2071
Adar,0,0,0,0,0,0,0,0.90092,0,0,0,2.2322,0,0,0.93027,0,0,0
Add1,4.4219,1.9006,0.96029,1.2223,2.1622,1.0865,2.3787,2.7028,2.9948,0,0.96192,1.1161,1.9497,3.3427,2.7908,0.9522,0.8389,2.4054
Add2,1.474,0,0.96029,0,0,3.2595,0,0.90092,0,1.0782,0,0,0,0.83568,1.8605,0.9522,0.8389,0.80178
Adh5,0,0,0,1.2223,1.0811,0,0,0,0,0,0,0,0,1.6714,0,0,0.8389,1.6036
Agap2,0,0,0,0,0,0,0,0.90092,0,0,0,0,0,0.83568,0,0,0,0.80178
Ahcy,0,0.95028,1.9206,0,1.0811,0,0,0,0,0,0,2.2322,0,0,0.93027,0,0,0
Aifm1,0,0,0,0,0,0,0,2.7028,0.99827,0,0,0,0,0,0,0,0,0
Ak1,1.474,5.7017,4.8014,4.889,5.4055,5.4325,3.5681,4.5046,2.9948,4.3129,2.8858,3.3483,6.824,3.3427,3.7211,5.7132,4.1945,2.4054
Akap5,0,0,0.96029,0,0,0,0,0,0,0,0,0,0,0.83568,0.93027,0.9522,3.3556,1.6036
Akr1a1,2.948,0.95028,1.9206,4.889,3.2433,2.173,1.1894,0.90092,1.9965,3.2347,0.96192,4.4644,0.97486,1.6714,0.93027,0.9522,0.8389,0.80178
Alb,7.3699,8.5525,12.484,9.7781,9.7299,8.6921,0,0.90092,2.9948,3.2347,1.9238,2.2322,5.8492,6.6854,6.5119,4.761,10.906,8.0178
Alcam,0,0,0.96029,0,0,0,0,0,0,0,0,2.2322,0,0,0,0,0.8389,0
Aldh1b1,0,0,0,0,0,0,0,0,0,0,0,1.1161,0.97486,0.83568,1.8605,2.8566,1.6778,2.4054
Aldh2,0,0.95028,0,0,0,1.0865,0,0,1.9965,2.1564,0,2.2322,0.97486,0.83568,1.8605,0.9522,0.8389,0
Aldh4a1,0,0,0.96029,0,0,1.0865,0,0,0,0,0,0,0.97486,1.6714,2.7908,0.9522,1.6778,0.80178
Aldh5a1,2.948,2.8508,2.8809,4.889,3.2433,2.173,9.5148,1.8018,0.99827,5.3911,2.8858,7.8127,2.9246,4.1784,3.7211,5.7132,3.3556,3.2071
Aldh6a1,0,0.95028,1.9206,0,0,2.173,0,0.90092,0,2.1564,3.8477,1.1161,1.9497,2.507,2.7908,2.8566,2.5167,4.0089
Aldh7a1,0,0,0,0,1.0811,0,0,0,0,0,0,0,0,0,0,0.9522,1.6778,0
Aldh9a1,0,0,0,0,0,1.0865,0,0,0,0,0,0,0,0.83568,0,0,0,0
Aldoa,14.74,12.354,13.444,12.223,15.135,14.125,11.894,9.0092,10.981,15.095,10.581,12.277,11.698,14.206,13.024,17.14,15.939,18.441
Aldoc,16.214,8.5525,6.722,8.5558,11.892,7.6055,13.083,9.0092,11.979,17.252,10.581,20.09,7.7989,9.1924,10.233,6.6654,10.067,11.225
Amph,1.474,3.8011,2.8809,4.889,3.2433,4.346,8.3255,2.7028,1.9965,3.2347,2.8858,1.1161,6.824,7.5211,6.5119,7.6176,3.3556,4.8107
Anks1b,0,0.95028,0,1.2223,1.0811,2.173,2.3787,6.3064,2.9948,2.1564,3.8477,3.3483,0,0,0,0,0,0
Anxa3,1.474,0.95028,0.96029,0,1.0811,1.0865,1.1894,0,0,0,0,0,1.9497,0,0.93027,0.9522,0.8389,0
Anxa5,8.8439,1.9006,2.8809,3.6668,4.3244,3.2595,8.3255,0.90092,0.99827,3.2347,0.96192,3.3483,4.8743,2.507,2.7908,5.7132,1.6778,1.6036
Anxa6,0,2.8508,2.8809,2.4445,3.2433,1.0865,0,0.90092,0,1.0782,1.9238,0,2.9246,1.6714,3.7211,1.9044,4.1945,4.8107
Ap1b1,10.318,3.8011,6.722,6.1113,6.4866,6.519,4.7574,7.2074,2.9948,2.1564,13.467,6.6966,9.7486,10.864,12.094,13.331,10.067,10.423
Ap2a2,7.3699,9.5028,10.563,11,8.6488,10.865,13.083,12.613,12.977,10.782,9.6192,8.9288,19.497,21.728,12.094,13.331,15.1,14.432
Ap2b1,17.688,14.254,19.206,18.334,19.46,18.471,8.3255,16.217,9.9827,6.4693,22.124,14.509,25.346,26.742,23.257,26.662,20.972,19.243
Ap2m1,7.3699,4.7514,3.8412,3.6668,5.4055,0,2.3787,1.8018,0,1.0782,2.8858,1.1161,1.9497,5.8497,2.7908,3.8088,5.0334,5.6125
Ap2s1,0,0.95028,0.96029,1.2223,1.0811,1.0865,0,1.8018,0.99827,0,0,0,0.97486,0.83568,1.8605,1.9044,0.8389,1.6036
Ap3m2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8389,0
Apoe,0,1.9006,0.96029,1.2223,1.0811,2.173,0,0,0,1.0782,0,2.2322,0,1.6714,0.93027,1.9044,2.5167,2.4054
Aprt,0,0.95028,0.96029,1.2223,1.0811,2.173,0,0.90092,0,0,0,0,0.97486,0,0.93027,0.9522,0.8389,0.80178
Aqp4,0,0.95028,0.96029,0,0,1.0865,0,1.8018,0,0,0,0,0,0,0,0,0,0
Arf1,7.3699,5.7017,4.8014,6.1113,5.4055,5.4325,8.3255,2.7028,3.9931,5.3911,6.7335,6.6966,3.8994,4.1784,4.6514,2.8566,5.8723,3.2071
Arf5,4.4219,2.8508,2.8809,3.6668,5.4055,4.346,2.3787,4.5046,2.9948,1.0782,3.8477,3.3483,2.9246,2.507,2.7908,0.9522,3.3556,1.6036
Arhgdia,2.948,1.9006,2.8809,2.4445,4.3244,3.2595,1.1894,1.8018,4.9913,4.3129,3.8477,6.6966,1.9497,4.1784,5.5816,2.8566,3.3556,2.4054
Arl8b,0,0,0,0,0,0,0,0.90092,0,1.0782,0,0,1.9497,1.6714,1.8605,0.9522,0.8389,0.80178
Armc10,0,0,0,0,0,0,3.5681,0,2.9948,2.1564,1.9238,0,0,0,0,0,0,0
Arpc1a,0,0.95028,0.96029,1.2223,1.0811,1.0865,0,0,0,0,0,0,0.97486,2.507,0,0,1.6778,3.2071
Arpc2,1.474,0.95028,1.9206,1.2223,0,2.173,0,1.8018,1.9965,1.0782,0.96192,0,2.9246,4.1784,3.7211,1.9044,1.6778,2.4054
Arpc5l,1.474,0,0,0,0,0,2.3787,0,0,3.2347,3.8477,2.2322,0,0,0,0,0,0
Asrgl1,0,0.95028,0.96029,0,1.0811,1.0865,0,0,0,2.1564,0,0,0,0.83568,0.93027,0.9522,0.8389,0
Atad3,0,0,0.96029,0,1.0811,1.0865,0,1.8018,1.9965,0,0,4.4644,0.97486,0.83568,0.93027,0,0,0.80178
Atic,0,0.95028,0.96029,1.2223,1.0811,1.0865,0,0,0,0,0,0,0.97486,0,0.93027,0.9522,0.8389,1.6036
Atl1,0,1.9006,3.8412,0,1.0811,2.173,0,1.8018,0.99827,0,0.96192,0,0.97486,5.8497,3.7211,1.9044,2.5167,4.0089
Atp1a1,42.745,28.508,29.769,33.001,30.271,29.336,42.817,36.037,38.932,34.503,36.553,47.992,32.17,25.07,26.978,30.47,20.972,23.252
Atp1a2,41.271,30.409,27.848,33.001,28.109,24.99,40.438,36.938,44.922,32.347,42.325,56.921,30.221,23.399,27.908,30.47,24.328,22.45
Atp1a3,48.641,40.862,42.253,44.001,40.001,34.768,46.385,47.749,48.915,46.363,50.982,53.573,42.894,31.756,45.583,44.754,37.75,35.279
Atp1b1,10.318,9.5028,5.7617,7.3336,11.892,6.519,11.894,11.712,11.979,12.939,11.543,12.277,8.7737,5.0141,6.5119,6.6654,5.0334,4.0089
Atp1b2,0,0,0.96029,0,0,0,1.1894,0,0,0,0,1.1161,0.97486,0.83568,0.93027,0.9522,0.8389,1.6036
Atp1b3,0,2.8508,1.9206,1.2223,3.2433,2.173,2.3787,4.5046,0.99827,0,0,2.2322,2.9246,1.6714,2.7908,2.8566,2.5167,2.4054
Atp2a2,5.8959,7.6023,4.8014,4.889,6.4866,3.2595,0,4.5046,0.99827,0,2.8858,1.1161,4.8743,11.699,6.5119,5.7132,9.2279,10.423
Atp2b1,7.3699,9.5028,8.6426,8.5558,9.7299,13.038,1.1894,10.811,7.9861,2.1564,13.467,5.5805,13.648,19.221,19.536,16.187,20.972,17.639
Atp2b2,7.3699,12.354,8.6426,9.7781,12.973,11.952,3.5681,10.811,14.974,5.3911,10.581,12.277,11.698,15.878,16.745,16.187,15.1,14.432
Atp2b3,4.4219,5.7017,2.8809,6.1113,4.3244,5.4325,0,6.3064,6.9879,2.1564,6.7335,4.4644,9.7486,11.699,11.163,11.426,10.906,12.027
Atp2b4,8.8439,8.5525,4.8014,8.5558,7.5677,7.6055,2.3787,5.4055,6.9879,3.2347,5.7715,6.6966,9.7486,10.028,10.233,14.283,10.906,10.423
Atp5a1,29.48,25.658,20.166,28.112,22.703,23.903,33.302,28.829,38.932,37.738,31.743,30.135,22.422,25.07,27.908,24.757,25.167,20.846
Atp5b,42.745,43.713,43.213,41.557,42.163,40.201,53.521,47.749,49.913,59.302,50.982,53.573,47.768,42.619,46.514,39.993,36.912,36.08
Atp5c1,4.4219,1.9006,2.8809,4.889,4.3244,3.2595,5.9468,3.6037,2.9948,6.4693,4.8096,6.6966,3.8994,2.507,1.8605,2.8566,3.3556,3.2071
Atp5d,2.948,0.95028,0.96029,1.2223,1.0811,1.0865,2.3787,1.8018,1.9965,2.1564,1.9238,2.2322,0.97486,0.83568,0.93027,0.9522,0.8389,0
Atp5f1,1.474,1.9006,1.9206,3.6668,3.2433,2.173,0,2.7028,1.9965,2.1564,3.8477,4.4644,1.9497,1.6714,2.7908,1.9044,3.3556,0.80178
Atp5h,2.948,3.8011,3.8412,3.6668,0,1.0865,11.894,5.4055,12.977,14.017,11.543,8.9288,2.9246,0,1.8605,1.9044,1.6778,0
Atp5i,0,0,0.96029,0,0,0,1.1894,0,1.9965,1.0782,3.8477,1.1161,1.9497,0,0,0.9522,0.8389,0
Atp5j,0,0,0.96029,0,0,0,0,0,0,3.2347,1.9238,1.1161,0,0,0,0,0,0
Atp5j2,2.948,0.95028,0.96029,1.2223,1.0811,1.0865,1.1894,0.90092,0,2.1564,2.8858,0,0.97486,1.6714,1.8605,1.9044,0.8389,0
Atp5l,2.948,0.95028,0.96029,1.2223,1.0811,2.173,3.5681,0,1.9965,2.1564,1.9238,2.2322,1.9497,0.83568,0,0,1.6778,1.6036
Atp5o,14.74,7.6023,7.6823,8.5558,7.5677,7.6055,3.5681,3.6037,9.9827,6.4693,4.8096,8.9288,7.7989,4.1784,4.6514,6.6654,3.3556,4.0089
Atp6v0a1,2.948,4.7514,7.6823,3.6668,5.4055,4.346,5.9468,13.514,11.979,3.2347,8.6573,7.8127,3.8994,4.1784,4.6514,2.8566,4.1945,6.4143
Atp6v0c,1.474,0.95028,1.9206,1.2223,0,1.0865,2.3787,4.5046,1.9965,1.0782,1.9238,2.2322,0,0,0,0,0,0
Atp6v1b2,14.74,10.453,13.444,14.667,12.973,14.125,7.1361,17.118,14.974,10.782,13.467,11.161,8.7737,9.1924,7.4422,11.426,12.583,13.63
Atp6v1c1,4.4219,8.5525,8.6426,8.5558,5.4055,7.6055,5.9468,5.4055,1.9965,2.1564,4.8096,2.2322,7.7989,4.1784,4.6514,7.6176,5.0334,3.2071
Atp6v1e1,5.8959,3.8011,3.8412,3.6668,3.2433,1.0865,9.5148,3.6037,2.9948,4.3129,7.6954,4.4644,4.8743,2.507,3.7211,4.761,2.5167,2.4054
Atp6v1f,1.474,0,0,0,0,1.0865,1.1894,1.8018,1.9965,4.3129,2.8858,4.4644,0,0.83568,0.93027,0,0,0
Baiap2,1.474,3.8011,2.8809,1.2223,1.0811,1.0865,9.5148,3.6037,5.9896,4.3129,2.8858,5.5805,0,0,0,0.9522,0.8389,0
Basp1,1.474,3.8011,6.722,7.3336,7.5677,7.6055,4.7574,7.2074,4.9913,5.3911,6.7335,6.6966,4.8743,0.83568,4.6514,5.7132,2.5167,2.4054
Bcan,2.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bcas1,0,0.95028,0,0,0,0,0,0,0,0,0,0,0,0,1.8605,0,0,0
Bdh1,1.474,3.8011,2.8809,2.4445,5.4055,4.346,0,3.6037,0.99827,2.1564,1.9238,5.5805,2.9246,2.507,4.6514,3.8088,4.1945,3.2071
Bin1,0,1.9006,1.9206,1.2223,2.1622,2.173,2.3787,1.8018,0,1.0782,2.8858,1.1161,8.7737,4.1784,3.7211,5.7132,2.5167,2.4054
Bsg,1.474,0,0.96029,1.2223,1.0811,1.0865,2.3787,1.8018,0,1.0782,1.9238,1.1161,0.97486,0.83568,0,0,0.8389,0
Bsn,0,0,0,0,0,1.0865,0,4.5046,4.9913,0,4.8096,1.1161,0,1.6714,0,0,2.5167,0
C1qbp,0,2.8508,0.96029,1.2223,2.1622,1.0865,3.5681,2.7028,3.9931,4.3129,3.8477,4.4644,2.9246,2.507,2.7908,0.9522,1.6778,2.4054
Ca2,1.474,0.95028,1.9206,3.6668,2.1622,1.0865,2.3787,0.90092,0.99827,2.1564,0.96192,1.1161,0.97486,1.6714,0.93027,1.9044,0.8389,1.6036
Cacna2d1,0,1.9006,0.96029,0,1.0811,0,1.1894,7.2074,2.9948,7.5475,7.6954,7.8127,0.97486,0,0,0,0,0
Cacnb2,0,0,0,0,0,0,0,0,2.9948,0,0,1.1161,0,0,0,0,0,0
Cadm2,0,0.95028,0,2.4445,1.0811,2.173,2.3787,0.90092,1.9965,4.3129,0,2.2322,2.9246,0.83568,1.8605,1.9044,1.6778,1.6036
Cadm3,0,3.8011,3.8412,1.2223,2.1622,3.2595,3.5681,0.90092,0,2.1564,0.96192,4.4644,3.8994,3.3427,3.7211,4.761,3.3556,2.4054
Cadm4,0,0,0,0,0,0,1.1894,0,0,2.1564,0,2.2322,0.97486,0,0.93027,0,0,1.6036
Cadps,1.474,0.95028,1.9206,0,2.1622,2.173,0,0,0,0,0,1.1161,7.7989,5.0141,7.4422,4.761,5.0334,5.6125
Calb1,1.474,0.95028,0.96029,0,0,2.173,0,0,0,0,1.9238,0,0.97486,0,0,0,0.8389,0
Calm1,4.4219,3.8011,5.7617,4.889,3.2433,3.2595,2.3787,0.90092,2.9948,2.1564,3.8477,3.3483,2.9246,0.83568,0.93027,0.9522,0.8389,0.80178
Calr,1.474,2.8508,2.8809,2.4445,1.0811,2.173,0,0.90092,1.9965,1.0782,1.9238,0,2.9246,5.0141,6.5119,3.8088,4.1945,3.2071
Camk2a,8.8439,10.453,9.6029,4.889,12.973,10.865,4.7574,9.9101,10.981,5.3911,8.6573,10.045,5.8492,10.028,7.4422,8.5698,10.906,13.63
Camk2b,7.3699,8.5525,7.6823,3.6668,10.811,9.7786,3.5681,6.3064,8.9844,3.2347,9.6192,7.8127,4.8743,8.3568,6.5119,7.6176,5.8723,8.8196
Camk2d,2.948,5.7017,4.8014,1.2223,7.5677,5.4325,1.1894,0,5.9896,3.2347,3.8477,4.4644,1.9497,4.1784,3.7211,3.8088,4.1945,4.0089
Camk2g,4.4219,6.652,4.8014,1.2223,7.5677,6.519,3.5681,1.8018,4.9913,1.0782,6.7335,4.4644,2.9246,3.3427,3.7211,3.8088,3.3556,4.0089
Camkv,1.474,7.6023,6.722,6.1113,5.4055,4.346,2.3787,2.7028,4.9913,2.1564,7.6954,4.4644,6.824,5.8497,8.3724,4.761,7.5501,5.6125
Cand1,1.474,2.8508,6.722,1.2223,3.2433,7.6055,0,2.7028,2.9948,2.1564,3.8477,2.2322,8.7737,11.699,8.3724,11.426,7.5501,9.6214
Canx,2.948,0.95028,2.8809,3.6668,2.1622,3.2595,4.7574,2.7028,2.9948,4.3129,2.8858,3.3483,2.9246,3.3427,3.7211,2.8566,2.5167,1.6036
Cap1,4.4219,4.7514,4.8014,3.6668,5.4055,3.2595,3.5681,0.90092,3.9931,8.6258,4.8096,2.2322,7.7989,5.8497,3.7211,6.6654,3.3556,4.0089
Cap2,2.948,1.9006,1.9206,2.4445,1.0811,1.0865,3.5681,0.90092,2.9948,2.1564,0.96192,2.2322,3.8994,3.3427,1.8605,1.9044,2.5167,3.2071
Capza2,4.4219,1.9006,2.8809,3.6668,3.2433,3.2595,0,0.90092,2.9948,2.1564,1.9238,1.1161,1.9497,0.83568,0.93027,1.9044,0.8389,0.80178
Capzb,1.474,0.95028,1.9206,1.2223,1.0811,2.173,0,4.5046,3.9931,3.2347,1.9238,1.1161,0.97486,0.83568,0.93027,0,0,0.80178
Caskin1,0,0,0,0,0,0,0,0,0,0,0,0,0.97486,0.83568,1.8605,0.9522,0,0.80178
Cbs,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6714,0,0,0,0
Cct2,5.8959,4.7514,4.8014,4.889,5.4055,5.4325,7.1361,2.7028,5.9896,4.3129,1.9238,4.4644,6.824,3.3427,2.7908,3.8088,5.0334,3.2071
Cct3,1.474,2.8508,3.8412,1.2223,3.2433,3.2595,3.5681,1.8018,0.99827,0,1.9238,1.1161,2.9246,0.83568,2.7908,3.8088,3.3556,2.4054
Cct4,1.474,1.9006,2.8809,1.2223,4.3244,3.2595,0,0,0,0,0.96192,2.2322,2.9246,5.0141,5.5816,7.6176,5.0334,4.0089
