,DMSO 01,DMSO 02,DMSO 03,RAPA 01,RAPA 02,RAPA 03,DMSO 01,DMSO 02,DMSO 03,RAPA 01,RAPA 02,RAPA 03,DMSO 01,DMSO 02,DMSO 03,RAPA 01,RAPA 02,RAPA 03
Ntm,0,0,0,1.2223,1.0811,1.0865,4.7574,5.4055,3.9931,4.3129,6.7335,5.5805,0,0,0,0,0,0
Ntrk2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6714,0,0,1.6778,0.80178
Nudc,0,0.95028,2.8809,1.2223,0,1.0865,0,0,0,0,0.96192,0,0,0,0,0.9522,0,0
Nup155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83568,0,0,0,0
Oat,0,0.95028,0.96029,1.2223,1.0811,1.0865,0,0,0,2.1564,0.96192,2.2322,3.8994,1.6714,1.8605,0.9522,1.6778,1.6036
Ogdh,4.4219,1.9006,6.722,1.2223,4.3244,1.0865,2.3787,8.1083,10.981,5.3911,7.6954,4.4644,5.8492,9.1924,13.024,7.6176,8.389,12.829
Ogt,0,0,0,0,0,0,0,1.8018,0.99827,1.0782,1.9238,0,0,0.83568,0,0,0.8389,0.80178
Ola1,1.474,0.95028,2.8809,1.2223,1.0811,1.0865,0,1.8018,1.9965,2.1564,1.9238,2.2322,1.9497,0.83568,1.8605,1.9044,1.6778,2.4054
Opa1,0,0.95028,0.96029,1.2223,2.1622,1.0865,2.3787,2.7028,8.9844,4.3129,4.8096,3.3483,6.824,4.1784,2.7908,2.8566,5.0334,3.2071
Opcml,1.474,3.8011,2.8809,2.4445,1.0811,2.173,2.3787,3.6037,3.9931,3.2347,4.8096,7.8127,0.97486,0.83568,0,0,0,0.80178
Otub1,2.948,4.7514,1.9206,3.6668,2.1622,3.2595,0,0,1.9965,0,0,1.1161,1.9497,0.83568,1.8605,2.8566,1.6778,0.80178
Oxct1,1.474,6.652,6.722,6.1113,8.6488,4.346,5.9468,6.3064,4.9913,6.4693,5.7715,8.9288,6.824,8.3568,11.163,6.6654,8.389,7.2161
Oxr1,0,0.95028,0.96029,0,0,2.173,1.1894,0,1.9965,1.0782,0.96192,1.1161,2.9246,2.507,1.8605,1.9044,1.6778,1.6036
P4hb,1.474,1.9006,0.96029,2.4445,2.1622,1.0865,2.3787,1.8018,1.9965,2.1564,0,0,0.97486,0.83568,1.8605,2.8566,0.8389,0.80178
Pabpc1,0,0,0,0,1.0811,1.0865,0,0,0,0,0,0,0,1.6714,3.7211,0,0,0.80178
Pacs1,0,0,0,0,0,0,0,0,0,0,0,1.1161,0,0.83568,0.93027,0,1.6778,0.80178
Pacsin1,10.318,6.652,6.722,7.3336,7.5677,4.346,13.083,5.4055,8.9844,12.939,7.6954,7.8127,6.824,5.0141,7.4422,6.6654,4.1945,4.8107
Pafah1b1,0,0.95028,0,1.2223,0,0,0,0,0,0,0,0,0.97486,1.6714,1.8605,0.9522,0.8389,2.4054
Pafah1b2,1.474,0.95028,0.96029,1.2223,1.0811,1.0865,0,0,0,0,0,0,0.97486,0.83568,1.8605,1.9044,0.8389,2.4054
Pak1,0,0,0.96029,0,1.0811,1.0865,0,0,0,0,0,0,1.9497,0.83568,0.93027,0,0.8389,0
Palm,0,0,0.96029,1.2223,1.0811,1.0865,0,1.8018,2.9948,2.1564,5.7715,1.1161,0,1.6714,2.7908,0.9522,0,3.2071
Park7,4.4219,3.8011,2.8809,3.6668,4.3244,3.2595,1.1894,1.8018,0,0,0,0,2.9246,5.0141,2.7908,1.9044,2.5167,4.0089
Pc,0,0,0,0,1.0811,0,1.1894,1.8018,0.99827,0,1.9238,1.1161,2.9246,10.028,5.5816,5.7132,6.7112,8.0178
Pclo,0,0,0.96029,0,0,0,0,2.7028,2.9948,0,0.96192,0,0,0.83568,0.93027,0,0,0
Pcmt1,1.474,1.9006,0.96029,0,2.1622,1.0865,0,0,2.9948,7.5475,2.8858,3.3483,0.97486,0,2.7908,0.9522,0.8389,0.80178
Pcyox1,0,0.95028,0.96029,1.2223,1.0811,1.0865,2.3787,0.90092,0,3.2347,0.96192,4.4644,0.97486,1.6714,1.8605,1.9044,1.6778,2.4054
Pdcd6ip,0,0,0,0,0,0,0,0,0,0,0,0,0.97486,1.6714,0.93027,0.9522,1.6778,0.80178
Pde2a,0,0,1.9206,2.4445,2.1622,2.173,1.1894,0.90092,2.9948,0,1.9238,0,7.7989,5.8497,6.5119,5.7132,5.0334,5.6125
Pdha1,4.4219,4.7514,4.8014,2.4445,4.3244,3.2595,5.9468,4.5046,9.9827,8.6258,1.9238,8.9288,6.824,6.6854,4.6514,5.7132,2.5167,4.8107
Pdhb,4.4219,4.7514,5.7617,4.889,4.3244,3.2595,19.03,6.3064,14.974,14.017,12.505,11.161,4.8743,3.3427,4.6514,2.8566,6.7112,7.2161
Pdia3,4.4219,5.7017,2.8809,6.1113,3.2433,4.346,7.1361,2.7028,5.9896,7.5475,4.8096,3.3483,4.8743,3.3427,3.7211,4.761,1.6778,4.0089
Pdia6,2.948,1.9006,2.8809,2.4445,2.1622,4.346,7.1361,3.6037,5.9896,4.3129,4.8096,5.5805,3.8994,2.507,5.5816,4.761,4.1945,4.0089
Pds5a,0,0,0,0,0,0,0,0,0,2.1564,0,0,0,0,0,0,0,0.80178
Pdxk,0,0.95028,1.9206,0,0,1.0865,0,0,0,0,0,0,0,0,0,0,0,0
Pdxp,1.474,3.8011,0.96029,2.4445,1.0811,1.0865,0,0,0,0,0,0,1.9497,0.83568,0.93027,0.9522,1.6778,0
Pdzd2,0,0,0,0,0,1.0865,0,0,0.99827,2.1564,0,1.1161,0,0,0,0,0,0
Pea15,1.474,1.9006,0.96029,0,2.1622,2.173,1.1894,0.90092,0,1.0782,0,1.1161,1.9497,0,0,1.9044,0.8389,0.80178
Pebp1,5.8959,3.8011,4.8014,8.5558,5.4055,5.4325,5.9468,2.7028,6.9879,3.2347,5.7715,7.8127,2.9246,2.507,1.8605,1.9044,0.8389,0
Pfdn2,1.474,0.95028,0,0,1.0811,2.173,0,0,0,0,0,0,0.97486,1.6714,0.93027,2.8566,0.8389,0.80178
Pfkl,1.474,2.8508,1.9206,2.4445,4.3244,2.173,4.7574,3.6037,0.99827,2.1564,2.8858,1.1161,1.9497,3.3427,1.8605,3.8088,4.1945,4.8107
Pfkm,1.474,1.9006,2.8809,2.4445,3.2433,2.173,1.1894,1.8018,3.9931,1.0782,0.96192,0,4.8743,7.5211,5.5816,7.6176,6.7112,5.6125
Pfkp,14.74,12.354,10.563,13.445,15.135,11.952,5.9468,8.1083,0.99827,3.2347,4.8096,1.1161,10.723,11.699,13.954,13.331,14.261,13.63
Pfn1,2.948,2.8508,1.9206,1.2223,5.4055,1.0865,1.1894,0.90092,3.9931,1.0782,4.8096,2.2322,1.9497,2.507,1.8605,1.9044,0.8389,1.6036
Pfn2,2.948,0,0.96029,2.4445,1.0811,2.173,4.7574,0.90092,2.9948,3.2347,2.8858,3.3483,0.97486,0,0,0,0,0
Pgam1,4.4219,11.403,7.6823,7.3336,6.4866,9.7786,8.3255,2.7028,0.99827,4.3129,0.96192,3.3483,8.7737,5.0141,4.6514,6.6654,5.0334,4.0089
Pgap1,0,0,0,0,0,1.0865,0,0,0,0,0,0,0,1.6714,0,0,0.8389,0
Pgk1,17.688,13.304,17.285,14.667,15.135,9.7786,8.3255,4.5046,3.9931,6.4693,7.6954,7.8127,18.522,6.6854,8.3724,12.379,6.7112,7.2161
Pgm1,1.474,0.95028,2.8809,2.4445,1.0811,1.0865,1.1894,0,1.9965,0,0,0,0.97486,0.83568,0.93027,1.9044,1.6778,1.6036
Phb,5.8959,5.7017,2.8809,7.3336,6.4866,5.4325,14.272,9.0092,9.9827,16.173,10.581,13.393,5.8492,0.83568,1.8605,2.8566,4.1945,2.4054
Phb2,2.948,6.652,3.8412,6.1113,6.4866,5.4325,4.7574,9.0092,8.9844,5.3911,5.7715,12.277,3.8994,5.0141,4.6514,4.761,4.1945,3.2071
Phgdh,1.474,0.95028,0.96029,1.2223,2.1622,3.2595,2.3787,0.90092,0,4.3129,0,1.1161,2.9246,0.83568,0.93027,1.9044,0.8389,0.80178
Phyhip,0,0.95028,0.96029,0,0,1.0865,0,0.90092,0,0,0,0,0,0.83568,0,0,1.6778,0.80178
Pik3cb,0,0,0,0,0,0,1.1894,1.8018,0,0,0,0,0,0,0,0,0,0
Pip5k1c,0,0.95028,0,1.2223,0,0,0,0,0,0,0,1.1161,0.97486,0,0,0.9522,0,1.6036
Pitpna,0,0.95028,0.96029,2.4445,2.1622,1.0865,2.3787,0.90092,0,4.3129,0,1.1161,0.97486,0.83568,0.93027,0.9522,0.8389,0.80178
Pkm,28.006,29.459,23.047,25.667,23.784,26.076,30.923,17.118,19.965,25.877,19.238,17.858,21.447,22.563,18.605,19.044,21.811,24.054
Plcb1,0,1.9006,2.8809,2.4445,2.1622,2.173,0,5.4055,2.9948,0,0,3.3483,0.97486,11.699,5.5816,2.8566,9.2279,16.036
Pld3,0,0,0,0,0,0,0,0.90092,0,0,0,0,0,1.6714,0.93027,0.9522,1.6778,0.80178
Plec,0,0,1.9206,0,0,1.0865,1.1894,1.8018,0,0,0,1.1161,0,0,0,0,0,0
Plp1,11.792,4.7514,6.722,8.5558,8.6488,7.6055,8.3255,8.1083,6.9879,4.3129,6.7335,7.8127,4.8743,5.0141,3.7211,3.8088,6.7112,4.8107
Pnp,0,0,1.9206,0,2.1622,1.0865,1.1894,0,0,0,0,0,1.9497,0.83568,0.93027,0,1.6778,2.4054
Ppfia3,0,0,0,0,0,1.0865,0,0,0,0,0,0,0,0,0,0.9522,0.8389,0.80178
Ppfia4,0,0,0,0,0,0,1.1894,0.90092,0,1.0782,0,1.1161,0,0,0,0,0,0
Ppia,13.266,10.453,6.722,11,15.135,8.6921,2.3787,3.6037,2.9948,5.3911,3.8477,6.6966,5.8492,5.8497,5.5816,7.6176,4.1945,5.6125
Ppib,1.474,0,0,0,0,1.0865,0,1.8018,0,2.1564,1.9238,0,0,0.83568,1.8605,0.9522,0.8389,0.80178
Ppp1ca,4.4219,5.7017,6.722,6.1113,7.5677,5.4325,4.7574,7.2074,0,1.0782,2.8858,3.3483,2.9246,1.6714,2.7908,4.761,4.1945,3.2071
Ppp1r7,1.474,0.95028,1.9206,3.6668,3.2433,2.173,5.9468,1.8018,3.9931,6.4693,0.96192,5.5805,2.9246,0.83568,1.8605,1.9044,0.8389,0.80178
Ppp1r9b,0,0,0.96029,0,0,0,1.1894,0.90092,0.99827,0,0,0,0,0,0.93027,0,0,0
Ppp2ca,4.4219,2.8508,0.96029,4.889,1.0811,2.173,7.1361,1.8018,2.9948,6.4693,3.8477,2.2322,0.97486,1.6714,2.7908,0.9522,0.8389,0
Ppp2r1b,4.4219,3.8011,1.9206,3.6668,2.1622,3.2595,2.3787,2.7028,0,3.2347,3.8477,2.2322,3.8994,3.3427,3.7211,2.8566,2.5167,4.0089
Ppp2r2a,1.474,0,1.9206,1.2223,1.0811,1.0865,1.1894,0.90092,0,1.0782,2.8858,2.2322,1.9497,1.6714,1.8605,0.9522,1.6778,1.6036
Ppp3ca,11.792,14.254,12.484,12.223,11.892,15.211,7.1361,7.2074,6.9879,6.4693,4.8096,7.8127,14.623,7.5211,7.4422,11.426,10.067,8.8196
Ppp3cb,10.318,9.5028,8.6426,7.3336,7.5677,9.7786,7.1361,5.4055,6.9879,7.5475,5.7715,6.6966,10.723,6.6854,7.4422,7.6176,5.8723,4.8107
Ppp3r1,5.8959,4.7514,2.8809,6.1113,0,3.2595,4.7574,1.8018,4.9913,4.3129,3.8477,6.6966,3.8994,0,0.93027,2.8566,0.8389,0
Ppp5c,0,1.9006,0,1.2223,0,0,0,0,0,0,0,0,0.97486,0,0,0,0,0.80178
Prdx1,2.948,1.9006,2.8809,4.889,1.0811,3.2595,2.3787,0,0.99827,1.0782,0.96192,0,2.9246,0.83568,1.8605,2.8566,1.6778,1.6036
Prdx2,7.3699,6.652,3.8412,6.1113,7.5677,6.519,2.3787,2.7028,1.9965,3.2347,0.96192,1.1161,2.9246,1.6714,1.8605,2.8566,1.6778,1.6036
Prdx3,0,0,1.9206,1.2223,2.1622,1.0865,0,0,1.9965,0,0,1.1161,1.9497,0.83568,0.93027,0.9522,2.5167,2.4054
Prdx5,5.8959,5.7017,4.8014,8.5558,7.5677,4.346,8.3255,3.6037,4.9913,4.3129,0.96192,4.4644,2.9246,3.3427,3.7211,2.8566,4.1945,4.8107
Prdx6,1.474,6.652,5.7617,6.1113,6.4866,5.4325,3.5681,1.8018,2.9948,4.3129,0,4.4644,5.8492,3.3427,5.5816,4.761,3.3556,4.0089
Prkaca,1.474,2.8508,3.8412,3.6668,2.1622,2.173,0,3.6037,2.9948,2.1564,3.8477,3.3483,2.9246,2.507,3.7211,2.8566,1.6778,3.2071
Prkacb,1.474,1.9006,2.8809,2.4445,3.2433,2.173,2.3787,3.6037,2.9948,2.1564,2.8858,3.3483,2.9246,2.507,4.6514,2.8566,1.6778,2.4054
Prkar2a,1.474,0.95028,1.9206,1.2223,1.0811,0,1.1894,2.7028,0,4.3129,0.96192,2.2322,3.8994,1.6714,2.7908,4.761,2.5167,2.4054
Prkar2b,2.948,3.8011,4.8014,3.6668,3.2433,2.173,1.1894,1.8018,1.9965,1.0782,2.8858,4.4644,4.8743,8.3568,7.4422,6.6654,6.7112,8.0178
Prkca,1.474,1.9006,0.96029,1.2223,1.0811,2.173,0,0.90092,0,0,2.8858,1.1161,0.97486,3.3427,2.7908,2.8566,3.3556,2.4054
Prkcb,1.474,4.7514,1.9206,1.2223,2.1622,3.2595,0,1.8018,0,0,1.9238,1.1161,2.9246,5.8497,3.7211,2.8566,5.0334,3.2071
Prkce,0,0.95028,0.96029,0,0,0,0,0,0,0,0,0,0.97486,0,0,0,0.8389,1.6036
Prkcg,0,0.95028,0.96029,0,2.1622,3.2595,0,0.90092,0,0,1.9238,0,0.97486,3.3427,1.8605,1.9044,1.6778,4.8107
Prps1,1.474,1.9006,1.9206,2.4445,0,1.0865,0,0,0.99827,0,0,0,1.9497,0.83568,2.7908,0.9522,0.8389,1.6036
Psma2,0,2.8508,1.9206,2.4445,3.2433,3.2595,0,2.7028,0,0,0,2.2322,0.97486,1.6714,0.93027,0.9522,1.6778,0.80178
Psma4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93027,0,0,0
Psma5,0,0,0.96029,0,2.1622,1.0865,0,0,0,0,0,0,0,0,0,0,0.8389,0
Psma7,0,0,0.96029,0,0,2.173,0,0,0,0,0,0,0,1.6714,0.93027,0.9522,1.6778,0.80178
Psmb6,0,0,0.96029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psmc1,0,0.95028,0,0,0,1.0865,0,0,0,0,0,0,1.9497,1.6714,0.93027,0,0,0
Psmc3,0,0.95028,1.9206,0,2.1622,1.0865,0,0.90092,0,0,0.96192,0,1.9497,0,0,0.9522,0.8389,0.80178
Psmd2,0,0.95028,0.96029,0,0,0,0,0.90092,0,0,0,0,0.97486,2.507,1.8605,0,3.3556,3.2071
Ptpre,0,0,0,0,0,0,1.1894,0,0,2.1564,0,0,0,0,0,0,0,0
Ptprs,0,0,0,0,0,0,1.1894,1.8018,0,1.0782,0.96192,1.1161,0,0.83568,1.8605,0,2.5167,0
Ptprz1,0,0,0.96029,0,0,1.0865,0,0,0,1.0782,0,0,0,1.6714,0,0,0,1.6036
Pura,4.4219,4.7514,3.8412,4.889,4.3244,3.2595,2.3787,2.7028,1.9965,2.1564,1.9238,3.3483,3.8994,1.6714,2.7908,2.8566,3.3556,3.2071
Purb,0,0.95028,0.96029,1.2223,0,3.2595,0,0,0,0,0,0,0.97486,1.6714,0.93027,0,0.8389,0.80178
Pygb,10.318,8.5525,9.6029,4.889,6.4866,6.519,3.5681,4.5046,7.9861,4.3129,6.7335,6.6966,8.7737,10.864,11.163,10.474,8.389,14.432
Pygm,2.948,0.95028,1.9206,0,1.0811,3.2595,1.1894,0.90092,0.99827,1.0782,0,0,1.9497,3.3427,1.8605,2.8566,3.3556,5.6125
Qdpr,4.4219,1.9006,3.8412,6.1113,3.2433,1.0865,3.5681,0,0,2.1564,0,1.1161,3.8994,0.83568,1.8605,2.8566,0.8389,0
Rab11b,1.474,2.8508,3.8412,3.6668,1.0811,3.2595,2.3787,1.8018,5.9896,4.3129,3.8477,4.4644,2.9246,2.507,1.8605,2.8566,0,0.80178
Rab14,2.948,2.8508,2.8809,2.4445,3.2433,3.2595,8.3255,4.5046,8.9844,7.5475,5.7715,6.6966,2.9246,2.507,4.6514,2.8566,4.1945,3.2071
Rab1A,4.4219,3.8011,4.8014,4.889,4.3244,3.2595,4.7574,4.5046,3.9931,5.3911,4.8096,3.3483,4.8743,2.507,4.6514,3.8088,4.1945,3.2071
Rab21,0,0,0,0,0,0,0,1.8018,0,0,0.96192,0,0,0.83568,0,0,0.8389,1.6036
Rab2a,4.4219,2.8508,0.96029,4.889,3.2433,1.0865,4.7574,3.6037,2.9948,4.3129,1.9238,2.2322,1.9497,2.507,0.93027,0.9522,3.3556,1.6036
Rab3a,11.792,8.5525,10.563,11,8.6488,11.952,11.894,9.0092,14.974,11.86,12.505,14.509,12.673,7.5211,10.233,10.474,10.067,8.0178
Rab3b,2.948,2.8508,4.8014,4.889,3.2433,5.4325,4.7574,2.7028,6.9879,3.2347,6.7335,5.5805,3.8994,5.0141,6.5119,5.7132,6.7112,4.8107
Rab3c,2.948,2.8508,2.8809,4.889,2.1622,4.346,8.3255,4.5046,6.9879,3.2347,6.7335,2.2322,2.9246,2.507,3.7211,3.8088,3.3556,2.4054
Rab3gap2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8389,1.6036
Rab6a,2.948,1.9006,2.8809,1.2223,1.0811,1.0865,2.3787,1.8018,1.9965,2.1564,1.9238,2.2322,0.97486,0.83568,1.8605,0.9522,0.8389,0.80178
Rab7a,2.948,6.652,3.8412,6.1113,5.4055,4.346,1.1894,2.7028,1.9965,3.2347,2.8858,2.2322,3.8994,3.3427,2.7908,4.761,2.5167,0.80178
Rac1,1.474,1.9006,1.9206,1.2223,1.0811,3.2595,3.5681,4.5046,1.9965,2.1564,1.9238,1.1161,2.9246,4.1784,1.8605,3.8088,2.5167,2.4054
Rala,1.474,1.9006,1.9206,2.4445,2.1622,2.173,2.3787,2.7028,0.99827,2.1564,1.9238,0,2.9246,2.507,2.7908,3.8088,2.5167,1.6036
Ran,1.474,0,0,1.2223,1.0811,0,0,0,0.99827,0,1.9238,0,0.97486,2.507,2.7908,1.9044,4.1945,1.6036
Rap1b,4.4219,0.95028,0.96029,2.4445,1.0811,2.173,0,0,0,2.1564,0,0,0.97486,0.83568,0.93027,0,0.8389,1.6036
Rap2b,0,0,0,1.2223,1.0811,0,0,1.8018,0.99827,1.0782,0.96192,1.1161,0.97486,0.83568,0,0,0.8389,0.80178
Rapgef2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6714,0.93027,0,0,0
Raver1,0,0,0,0,0,0,2.3787,0.90092,0,2.1564,0.96192,1.1161,0,0,0,0,0,0
Rbm20,0,0,0,0,0,0,2.3787,0,0,1.0782,0,0,0,0,0,0,0,0
Reep6,0,0,0,0,0,0,0,0,0.99827,0,0,1.1161,0,0,0,0,1.6778,0
Rgs7,2.948,2.8508,1.9206,1.2223,0,2.173,5.9468,3.6037,3.9931,2.1564,1.9238,6.6966,2.9246,1.6714,1.8605,1.9044,2.5167,2.4054
Rhoa,1.474,2.8508,3.8412,2.4445,1.0811,3.2595,4.7574,7.2074,4.9913,3.2347,5.7715,5.5805,2.9246,2.507,4.6514,2.8566,3.3556,4.0089
Rhob,0,0.95028,1.9206,0,1.0811,1.0865,3.5681,2.7028,3.9931,3.2347,3.8477,4.4644,0.97486,2.507,2.7908,2.8566,3.3556,1.6036
Rnpc3,0,0,0.96029,0,2.1622,0,0,0,0,1.0782,0,0,0,0,0,0,0,0
Rogdi,0,0.95028,0.96029,0,1.0811,1.0865,0,0,0,0,0,0,1.9497,0.83568,0,0,0,0.80178
Rph3a,0,0.95028,0.96029,1.2223,1.0811,1.0865,0,0,1.9965,1.0782,0.96192,1.1161,0.97486,1.6714,1.8605,0.9522,0.8389,1.6036
Rpl12,0,1.9006,1.9206,0,2.1622,2.173,0,1.8018,0,0,0,0,0,0,0.93027,0.9522,0.8389,0.80178
Rpl18,1.474,0.95028,0.96029,0,2.1622,1.0865,1.1894,0,0,0,0,1.1161,0.97486,0.83568,0.93027,0.9522,1.6778,0
Rpl22,0,1.9006,0,1.2223,1.0811,1.0865,0,0,0,0,0,0,1.9497,0,0,0.9522,0,0
Rpl4,0,0,0,0,0,0,1.1894,0,0,0,0,0,0,0.83568,1.8605,0.9522,0,0.80178
Rpl6,0,0,0.96029,0,0,0,0,0.90092,0,0,0,0,0,0.83568,0,0,0.8389,0.80178
Rpl7a,0,0,0,1.2223,1.0811,0,0,0,0,0,0,0,0,0.83568,0.93027,0,1.6778,0.80178
Rplp0,0,1.9006,0.96029,1.2223,1.0811,2.173,0,0.90092,0,2.1564,0,1.1161,0.97486,0,1.8605,1.9044,0.8389,0
Rplp2,0,0,0.96029,0,2.1622,2.173,0,0,0,1.0782,0,0,0,0,0,0,0,0
Rpn1,0,0.95028,0,0,0,0,0,0,0.99827,0,0.96192,0,0,0.83568,0,0,1.6778,0
Rpn2,0,0,0.96029,0,0,0,0,0.90092,0.99827,0,0,0,0,0.83568,0.93027,0,0,1.6036
Rps20,0,0,1.9206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rps27a,2.948,3.8011,4.8014,3.6668,2.1622,3.2595,1.1894,1.8018,2.9948,2.1564,0,3.3483,2.9246,2.507,1.8605,2.8566,0.8389,3.2071
Rps3,1.474,1.9006,0.96029,1.2223,1.0811,1.0865,0,0,0,0,0,0,0.97486,0,0.93027,0.9522,0,0
Rps4x,0,0.95028,1.9206,0,1.0811,0,0,0,0,0,0,0,0,0,0.93027,0,0,0
Rps7,0,0.95028,0.96029,0,1.0811,1.0865,0,1.8018,1.9965,0,0.96192,1.1161,0.97486,2.507,1.8605,1.9044,1.6778,2.4054
Rps8,0,0.95028,0.96029,0,1.0811,2.173,0,0,0,0,0,0,0.97486,0.83568,0.93027,0.9522,0.8389,1.6036
Rps9,0,0.95028,1.9206,0,1.0811,0,0,0,0,0,0,0,0,1.6714,0.93027,0,0.8389,1.6036
Rpsa,1.474,1.9006,1.9206,1.2223,1.0811,1.0865,0,0,0,0,0,0,0.97486,2.507,1.8605,1.9044,0,0.80178
Rtn1,2.948,3.8011,3.8412,3.6668,4.3244,5.4325,2.3787,0,0.99827,1.0782,2.8858,3.3483,2.9246,1.6714,4.6514,3.8088,3.3556,1.6036
Rtn3,2.948,1.9006,1.9206,2.4445,2.1622,3.2595,2.3787,1.8018,0,2.1564,0,0,0.97486,3.3427,3.7211,1.9044,4.1945,2.4054
