DMSO_Closeness_Centrality,Rapa_Closeness_Centrality,Random_Closeness_Centrality,DMSO_Clustering_Coefficient,Rapa_Clustering_Coefficient,Random_Clustering_Coefficient,DMSO_Neighborhood_Connectivity,Rapa_Neighborhood_Connectivity,Random_Neighborhood_Connectivity
0.653846154,1,0.414678899,0.791666667,0.8,0.166666667,4,11.425,20.80952381
0.453333333,0,0.407942238,0.833333333,0.944444444,0.166666667,30.30208333,5.716666667,19.73170732
0.596491228,0.28125,0.408679928,0.87,0.879166667,0.13,9.65,15.91666667,23.5
0.596491228,0.240713224,0.407942238,0.857142857,0.8,0.142857143,14.4375,9.916666667,20.90277778
0.395348837,0.238235294,0.43129771,0.70995671,0.69047619,0.12987013,10.68888889,8.321428571,20.72857143
0.515151515,0.292418773,0.395796848,0.619047619,0.617346939,0.142857143,15.45833333,11.66798419,20.13333333
0.485714286,0.291891892,0.48812095,0.688888889,0.703703704,0.111111111,18.67226891,16.41304348,19.24242424
0.618181818,0.202247191,0.422429907,0.544444444,0.688888889,0.133333333,13.84210526,28.03333333,20.45989305
0.453333333,0.202247191,0.536817102,0.946320346,0.875889328,0.111688312,15.53846154,3.5,20.35483871
0.478873239,0.298342541,0.413919414,0.857575758,0.846590909,0.149090909,16.93478261,17.95652174,21.01666667
0.485714286,0.292418773,0.407942238,0.766899767,0.849527665,0.113053613,13.03571429,27.05555556,17.56
0.548387097,0.290843806,0.437137331,0.6996337,0.868131868,0.098901099,13.16666667,11.98148148,21.77142857
0.566666667,0.204287516,0.455645161,0.646031746,0.803174603,0.122222222,8.785714286,11.36666667,19.9
0.618181818,0.14298323,0.364516129,0.81197479,0.887254902,0.12394958,18.09090909,17.3,20.25
0.548387097,0.280276817,0.452,0.727777778,0.830952381,0.152777778,5.375,18.05555556,19.83882784
0.53125,0.261712439,0.362179487,0.666666667,0.614035088,0.111111111,29.38709677,28.75,20.68571429
0.548387097,0.229137199,0.375415282,0.580065359,0.699346405,0.125816993,7.766233766,28.85714286,18
0.53125,0.320158103,0.388984509,0.950877193,0.580952381,0.137894737,14.25555556,7.214285714,20.83333333
0.53125,0.231759657,0.449304175,0.664031621,0.594736842,0.110671937,18.26086957,15.43859649,17.76315789
0.453333333,0.125484121,0.437137331,0.662337662,0.664031621,0.130952381,15.78333333,30.68091168,18.28985507
0.453333333,0.16496945,0.397887324,0.603333333,0.692640693,0.14,12.34199134,16.16194332,19.85714286
0.576271186,0.196840826,0.416206262,0.438405797,0.991672146,0.163043478,6.31,18.94642857,22.85185185
0.485714286,0.271812081,0.385008518,1,0.372307692,0.116032116,15.31944444,18.40909091,22.375
0.453333333,0.207692308,0.496703297,0.903940887,0.867724868,0.108374384,32.51851852,19.14285714,20.53571429
0.53125,0.2414307,0.412408759,0.970899471,0.811494253,0.121693122,32.21428571,14.15384615,19.5
0.548387097,0.240713224,0.379831933,0.802150538,0.760080645,0.086021505,3.25,6.333333333,19.66049383
0.395348837,0.282722513,0.432950192,0.780577957,0.712698413,0.109206989,27.01333333,9.071428571,21.13636364
0.478873239,0.290843806,0.420074349,0.653658537,0.255072464,0.115091463,29.44,16.46666667,20.10333333
0.386363636,0.229137199,0.399293286,0.263768116,,0.104347826,28.02439024,16.28571429,19.80357143
0.507462687,0.228813559,0.375415282,,,,13.86904762,,20.4375
0.5,0.295620438,0.346625767,,,,,,
0.607142857,0.218328841,0.495614035,,,,,,
0.62962963,0.18,0.428030303,,,,,,
0.576271186,0.253521127,0.351477449,,,,,,
0.515151515,0.282722513,0.478813559,,,,,,
1,0.2414307,0.464065708,,,,,,
1,0.18,0.517162471,,,,,,
0.714285714,0.287744227,0.395104895,,,,,,
0.714285714,0.220108696,0.524361949,,,,,,
0.714285714,0.229137199,0.417744917,,,,,,
0.714285714,0.253918495,0.44488189,,,,,,
1,0.290843806,0.387650086,,,,,,
1,0.282722513,0.442270059,,,,,,
1,0.287744227,0.3616,,,,,,
1,0.287744227,0.381756757,,,,,,
0.282504013,0.287744227,0.517162471,,,,,,
0.236877524,0.282229965,0.293506494,,,,,,
0.251788269,0.282722513,0.331378299,,,,,,
0.215686275,0.24251497,0.432950192,,,,,,
0.315412186,0.282722513,0.428030303,,,,,,
0.291873964,0.180803571,0.421641791,,,,,,
0.215686275,0.229137199,0.437137331,,,,,,
0.218362283,0.166495375,0.410909091,,,,,,
0.283870968,0.291891892,0.420856611,,,,,,
0.315412186,0.301115242,0.379194631,,,,,,
0.277602524,0.253521127,0.435452794,,,,,,
0.220828105,0.204287516,0.385665529,,,,,,
0.153443766,0.253918495,0.335311573,,,,,,
0.236241611,0.287744227,0.465020576,,,,,,
0.293823038,0.170526316,0.498896247,,,,,,
0.17070805,0.249614792,0.4,,,,,,
0.180327869,0.2414307,0.465020576,,,,,,
0.25,0.296160878,0.388984509,,,,,,
0.236241611,0.225626741,0.451097804,,,,,,
0.318264014,0.14298323,0.396491228,,,,,,
0.205847953,0.291366906,0.487068966,,,,,,
0.206330598,0.253521127,0.46985447,,,,,,
0.206330598,0.244712991,0.424015009,,,,,,
0.276295133,0.286725664,0.421641791,,,,,,
0.209026128,0.298892989,0.383701188,,,,,,
0.243767313,0.204545455,0.36867863,,,,,,
0.236877524,0.18,0.42481203,,,,,,
0.289473684,0.253521127,0.466942149,,,,,,
0.277602524,0.16496945,0.407207207,,,,,,
0.236241611,0.202753442,0.388984509,,,,,,
0.232189974,0.282722513,0.523148148,,,,,,
0.282051282,0.216288385,0.423220974,,,,,,
0.217283951,0.18,0.472803347,,,,,,
0.217552534,0.266447368,0.358730159,,,,,,
0.18743344,0.298342541,0.449304175,,,,,,
0.237196765,0.298342541,0.425612053,,,,,,
0.289473684,0.253918495,0.445759369,,,,,,
0.243767313,0.266009852,0.386986301,,,,,,
0.18743344,0.229137199,0.43047619,,,,,,
0.298811545,0.219512195,0.483940043,,,,,,
0.217283951,0.296160878,0.457489879,,,,,,
0.236241611,0.229137199,0.476793249,,,,,,
0.237196765,0.27,0.387650086,,,,,,
0.277602524,0.195180723,0.437137331,,,,,,
0.289473684,0.290843806,0.393728223,,,,,,
0.298811545,0.240713224,0.467908903,,,,,,
0.298811545,0.295081967,0.495614035,,,,,,
0.298811545,0.295081967,0.385665529,,,,,,
0.315978456,0.143362832,0.420074349,,,,,,
0.289473684,0.180803571,0.434615385,,,,,,
0.263473054,0.287744227,0.506726457,,,,,,
0.289473684,0.282722513,0.294270833,,,,,,
0.187633262,0.282722513,0.419294991,,,,,,
0.236241611,0.184090909,0.287898089,,,,,,
0.236241611,0.320158103,0.428842505,,,,,,
0.291873964,0.238235294,0.372937294,,,,,,
0.30292599,0.184090909,0.399293286,,,,,,
0.237196765,0.253918495,0.453815261,,,,,,
0.237196765,0.224376731,0.397887324,,,,,,
0.298811545,0.310940499,0.470833333,,,,,,
0.21595092,0.229137199,0.437137331,,,,,,
0.268292683,0.260869565,0.36867863,,,,,,
0.243767313,0.320158103,0.39100346,,,,,,
0.301886792,0.2414307,0.427221172,,,,,,
0.235924933,0.216288385,0.396491228,,,,,,
0.251788269,0.282722513,0.379831933,,,,,,
0.291390728,0.295081967,0.43047619,,,,,,
0.205607477,0.180803571,0.470833333,,,,,,
0.237196765,0.170526316,0.432950192,,,,,,
0.266263238,0.287744227,0.452905812,,,,,,
0.257686676,0.26557377,0.403571429,,,,,,
0.296795953,0.268656716,0.452,,,,,,
0.284329564,0.253918495,0.40647482,,,,,,
0.21701603,0.253918495,0.403571429,,,,,,
0.18743344,0.282722513,0.486021505,,,,,,
0.237196765,0.282722513,0.424015009,,,,,,
0.206330598,0.223140496,0.415441176,,,,,,
0.206330598,0.295081967,0.366288493,,,,,,
0.21701603,0.229137199,0.5,,,,,,
0.292358804,0.184090909,0.46122449,,,,,,
0.227390181,0.125484121,0.457489879,,,,,,
0.258064516,0.2592,0.466942149,,,,,,
0.18743344,0.290843806,0.345038168,,,,,,
0.247538678,0.282722513,0.453815261,,,,,,
0.283870968,0.320158103,0.399293286,,,,,,
0.180327869,0.18,0.503340757,,,,,,
0.284329564,0.222222222,0.468879668,,,,,,
0.237196765,0.170526316,0.373553719,,,,,,
0.283413849,0.240713224,0.418518519,,,,,,
0.236241611,0.170526316,0.491304348,,,,,,
0.223634053,0.292418773,0.487068966,,,,,,
0.282051282,0.291366906,0.392361111,,,,,,
0.236241611,0.261712439,0.452,,,,,,
0.255813953,0.292418773,0.524361949,,,,,,
0.192560175,0.309160305,0.345038168,,,,,,
0.277602524,0.18,0.411657559,,,,,,
0.236877524,0.18,0.427221172,,,,,,
0.2816,0.237885463,0.443137255,,,,,,
0.2816,0.229137199,0.457489879,,,,,,
0.207058824,0.295081967,0.465020576,,,,,,
0.256186317,0.215139442,0.354231975,,,,,,
0.187633262,0.320158103,0.452,,,,,,
0.298811545,0.238586156,0.343987823,,,,,,
0.289473684,0.196840826,0.448412698,,,,,,
0.289473684,0.261712439,0.424015009,,,,,,
0.192560175,0.263414634,0.429657795,,,,,,
0.318264014,0.18,0.481876333,,,,,,
0.251788269,0.268656716,0.45472837,,,,,,
0.192560175,0.2414307,0.423220974,,,,,,
0.237196765,0.291366906,0.43378119,,,,,,
0.216216216,0.287744227,0.491304348,,,,,,
0.333965844,0.310344828,0.358161648,,,,,,
0.236241611,0.287744227,0.5,,,,,,
0.251428571,0.170526316,0.487068966,,,,,,
0.318264014,0.298892989,0.451097804,,,,,,
0.227096774,0.225626741,0.437984496,,,,,,
0.180327869,0.290843806,0.358161648,,,,,,
0.227390181,0.18,0.376039933,,,,,,
0.289473684,0.188372093,0.43047619,,,,,,
0.2816,0.18,0.398589065,,,,,,
0.187633262,0,0.437984496,,,,,,
0.265060241,0.693877551,0.371710526,,,,,,
0.301369863,0.453333333,0.445759369,,,,,,
0.283413849,0.607142857,0.467908903,,,,,,
0.255072464,0.596491228,0.435452794,,,,,,
0.237196765,0.430379747,0.464065708,,,,,,
0.237196765,0.586206897,0.3616,,,,,,
0.289473684,0.53125,0.43047619,,,,,,
0.289473684,0.618181818,0.440545809,,,,,,
0.234042553,0.596491228,0.43129771,,,,,,
0.2816,0.492753623,0.5,,,,,,
0.236241611,0.53125,0.432950192,,,,,,
0.192560175,0.566666667,0.41697417,,,,,,
0.171707317,0.607142857,0.483940043,,,,,,
0.278922345,0.62962963,0.418518519,,,,,,
0.277602524,0.557377049,0.472803347,,,,,,
0.289473684,0.557377049,0.445759369,,,,,,
0.318264014,0.557377049,0.426415094,,,,,,
0.236241611,0.557377049,0.385008518,,,,,,
0.18743344,0.607142857,0.45841785,,,,,,
0.228868661,0.453333333,0.383050847,,,,,,
0.180327869,0.453333333,0.425612053,,,,,,
0.21595092,0.586206897,0.378559464,,,,,,
0.236877524,0.53125,0.399293286,,,,,,
0.217552534,0.453333333,0.523148148,,,,,,
0.171875,0.557377049,0.326118326,,,,,,
0.317117117,0.566666667,0.423220974,,,,,,
0.291390728,0.430379747,0.449304175,,,,,,
0.25,0.492753623,0.395796848,,,,,,
0.31884058,0.386363636,0.425612053,,,,,,
0.338461538,0.607142857,0.480851064,,,,,,
0.18743344,0.507462687,0.381756757,,,,,,
0.18743344,0.693877551,0.369885434,,,,,,
0.153443766,0.641509434,0.475789474,,,,,,
0.255072464,0.586206897,0.397188049,,,,,,
0.236241611,0.586206897,0.46985447,,,,,,
0.255072464,0,0.40070922,,,,,,
0.2816,1,0.440545809,,,,,,
0.226512227,1,0.308321965,,,,,,
0.318264014,1,0.369885434,,,,,,
0.25,1,0.376039933,,,,,,
0.206330598,1,0.49452954,,,,,,
0.21595092,1,0.492374728,,,,,,
0.250355619,1,0.385008518,,,,,,
0.18743344,1,0.38047138,,,,,,
0.255072464,,0.424015009,,,,,,
0.243767313,,0.427221172,,,,,,
0.278041074,,0.429657795,,,,,,
0.298811545,,0.426415094,,,,,,
0.28852459,,0.366883117,,,,,,
0.298811545,,0.520737327,,,,,,
0.284329564,,0.436293436,,,,,,
0.21595092,,0.525581395,,,,,,
0.277602524,,0.48812095,,,,,,
0.18743344,,0.445759369,,,,,,
0.236241611,,0.426415094,,,,,,
0.18743344,,0.39100346,,,,,,
0,,0.413919414,,,,,,
,,0.316083916,,,,,,
,,0.378559464,,,,,,
,,0.393728223,,,,,,
,,0,,,,,,
,,0,,,,,,
